날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 11월 27일,"70,141,000","68,329,000","70,295,000","68,059,000",0.70K,2.65%
2021년 11월 26일,"68,329,000","73,128,000","73,499,000","67,986,000",1.34K,-6.58%
2021년 11월 25일,"73,138,000","71,670,000","73,950,000","71,066,000",1.14K,2.05%
2021년 11월 24일,"71,670,000","71,617,000","72,340,000","70,050,000",1.19K,0.07%
2021년 11월 23일,"71,618,000","70,421,000","71,995,000","69,400,000",1.14K,1.71%
2021년 11월 22일,"70,416,000","72,963,000","73,429,000","70,051,000",1.39K,-3.49%
2021년 11월 21일,"72,963,000","73,781,000","74,176,000","72,599,000",0.80K,-1.09%
2021년 11월 20일,"73,764,000","71,786,000","74,000,000","71,374,000",1.07K,2.76%
2021년 11월 19일,"71,782,000","70,388,000","72,218,000","69,032,000",0.84K,1.98%
2021년 11월 18일,"70,388,000","73,952,000","74,396,000","69,846,000",1.78K,-4.83%
2021년 11월 17일,"73,962,000","73,882,000","74,581,000","71,822,000",1.10K,0.11%
2021년 11월 16일,"73,884,000","77,530,000","77,558,000","73,126,000",1.10K,-4.74%
2021년 11월 15일,"77,559,000","79,352,000","80,111,000","77,240,000",1.09K,-2.28%
2021년 11월 14일,"79,372,000","77,860,000","79,372,000","77,448,000",0.95K,1.94%
2021년 11월 13일,"77,860,000","78,169,000","78,820,000","77,120,000",0.56K,-0.41%
2021년 11월 12일,"78,179,000","78,860,000","79,133,000","76,601,000",1.00K,-0.84%
2021년 11월 11일,"78,842,000","79,520,000","79,670,000","78,400,000",1.10K,-0.85%
2021년 11월 10일,"79,520,000","80,730,000","82,425,000","77,983,000",2.18K,-1.50%
2021년 11월 09일,"80,729,000","81,504,000","82,475,000","79,815,000",1.34K,-0.95%
2021년 11월 08일,"81,504,000","76,666,000","81,650,000","76,650,000",1.29K,6.28%
2021년 11월 07일,"76,685,000","74,559,000","76,700,000","74,473,000",0.91K,2.84%
2021년 11월 06일,"74,569,000","74,100,000","74,600,000","73,698,000",0.79K,0.62%
2021년 11월 05일,"74,108,000","73,757,000","74,945,000","73,207,000",1.06K,0.48%
2021년 11월 04일,"73,757,000","74,656,000","74,846,000","73,322,000",1.25K,-1.23%
2021년 11월 03일,"74,674,000","74,162,000","74,994,000","72,132,000",1.43K,0.69%
2021년 11월 02일,"74,162,000","72,385,000","75,500,000","72,007,000",1.19K,2.40%
2021년 11월 01일,"72,422,000","72,574,000","73,900,000","71,030,000",0.94K,-0.21%
2021년 10월 31일,"72,574,000","73,681,000","74,500,000","71,824,000",0.81K,-1.49%
2021년 10월 30일,"73,668,000","74,654,000","74,728,000","72,931,000",1.24K,-1.30%
2021년 10월 29일,"74,641,000","73,029,000","75,452,000","72,530,000",1.72K,2.32%
2021년 10월 28일,"72,947,000","71,612,000","74,630,000","70,727,000",1.77K,1.82%
2021년 10월 27일,"71,646,000","73,004,000","73,866,000","70,420,000",1.32K,-1.87%
2021년 10월 26일,"73,012,000","76,280,000","76,442,000","72,796,000",1.61K,-4.28%
2021년 10월 25일,"76,280,000","74,471,000","76,964,000","74,265,000",1.03K,2.44%
2021년 10월 24일,"74,465,000","74,874,000","75,393,000","73,480,000",1.18K,-0.55%
2021년 10월 23일,"74,875,000","74,283,000","75,418,000","73,200,000",0.90K,0.80%
2021년 10월 22일,"74,283,000","76,193,000","77,355,000","73,750,000",1.55K,-2.51%
2021년 10월 21일,"76,196,000","79,644,000","80,460,000","76,146,000",1.62K,-4.31%
2021년 10월 20일,"79,630,000","78,715,000","81,200,000","77,777,000",1.48K,1.16%
2021년 10월 19일,"78,715,000","76,469,000","78,959,000","75,656,000",1.57K,2.90%
2021년 10월 18일,"76,494,000","75,952,000","77,000,000","74,000,000",0.92K,0.71%
2021년 10월 17일,"75,952,000","74,805,000","76,176,000","73,734,000",1.39K,1.53%
2021년 10월 16일,"74,805,000","75,707,000","76,144,000","73,926,000",0.99K,-1.19%
2021년 10월 15일,"75,707,000","69,753,000","76,605,000","69,352,000",1.76K,8.54%
2021년 10월 14일,"69,753,000","69,925,000","71,300,000","69,101,000",1.20K,-0.25%
2021년 10월 13일,"69,925,000","69,239,000","70,637,000","66,800,000",0.51K,1.03%
2021년 10월 12일,"69,211,000","70,954,000","71,136,000","67,162,000",0.72K,-2.46%
