날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 04월 19일,"219,100","225,500","226,600","214,600",27.45K,-2.80%
2020년 04월 18일,"225,400","206,900","227,800","206,700",55.16K,8.94%
2020년 04월 17일,"206,900","207,600","210,500","203,500",20.33K,-0.29%
2020년 04월 16일,"207,500","186,900","209,900","181,500",33.70K,10.84%
2020년 04월 15일,"187,200","193,100","195,800","187,000",20.34K,-3.11%
2020년 04월 14일,"193,200","191,500","196,500","190,100",18.45K,0.84%
2020년 04월 13일,"191,600","194,200","194,600","186,100",23.19K,-1.54%
2020년 04월 12일,"194,600","194,800","201,200","190,900",39.84K,-0.21%
2020년 04월 11일,"195,000","193,500","198,200","189,700",17.19K,0.67%
2020년 04월 10일,"193,700","205,100","206,000","186,100",41.97K,-5.60%
2020년 04월 09일,"205,200","207,700","208,900","200,600",22.30K,-1.20%
2020년 04월 08일,"207,700","197,900","209,300","196,700",22.89K,4.90%
2020년 04월 07일,"198,000","205,800","211,500","195,600",67.67K,-3.74%
2020년 04월 06일,"205,700","172,600","206,300","172,600",90.97K,19.25%
2020년 04월 05일,"172,500","173,300","174,700","170,700",10.34K,-0.40%
2020년 04월 04일,"173,200","170,900","174,600","169,000",22.04K,1.29%
2020년 04월 03일,"171,000","169,900","175,600","168,000",16.21K,0.65%
2020년 04월 02일,"169,900","164,600","175,600","164,200",83.64K,3.22%
2020년 04월 01일,"164,600","161,500","165,500","158,200",27.56K,1.92%
2020년 03월 31일,"161,500","160,800","164,100","158,700",16.13K,0.44%
2020년 03월 30일,"160,800","152,900","164,400","152,700",28.79K,5.03%
2020년 03월 29일,"153,100","160,800","161,600","152,900",29.95K,-4.73%
2020년 03월 28일,"160,700","162,300","162,800","152,500",26.56K,-1.11%
2020년 03월 27일,"162,500","170,000","172,500","161,100",32.15K,-4.36%
2020년 03월 26일,"169,900","169,100","171,300","165,000",28.86K,0.83%
2020년 03월 25일,"168,500","171,800","175,500","166,300",18.27K,-1.92%
2020년 03월 24일,"171,800","169,200","175,000","164,000",36.76K,1.54%
2020년 03월 23일,"169,200","155,000","170,100","152,100",40.11K,9.02%
2020년 03월 22일,"155,200","166,000","170,400","154,600",48.77K,-6.39%
2020년 03월 21일,"165,800","167,500","174,300","158,900",37.36K,-1.01%
2020년 03월 20일,"167,500","169,900","190,500","152,200",162.49K,-1.30%
2020년 03월 19일,"169,700","147,600","180,400","145,200",174.51K,14.82%
2020년 03월 18일,"147,800","147,600","150,100","139,700",33.25K,0.14%
2020년 03월 17일,"147,600","140,800","152,200","139,300",34.66K,4.83%
2020년 03월 16일,"140,800","159,200","160,500","136,600",92.58K,-11.67%
2020년 03월 15일,"159,400","161,500","166,000","155,400",53.87K,-1.42%
2020년 03월 14일,"161,700","174,500","177,100","159,800",28.36K,-7.39%
2020년 03월 13일,"174,600","142,700","179,900","130,000",146.38K,22.44%
2020년 03월 12일,"142,600","233,400","234,200","136,700",168.98K,-38.93%
2020년 03월 11일,"233,500","242,500","244,900","218,700",59.53K,-3.67%
2020년 03월 10일,"242,400","248,800","250,000","237,700",24.71K,-2.57%
2020년 03월 09일,"248,800","244,900","256,300","232,800",65.78K,1.72%
2020년 03월 08일,"244,600","285,000","285,000","240,600",87.45K,-14.27%
2020년 03월 07일,"285,300","290,900","300,900","284,200",38.79K,-1.93%
2020년 03월 06일,"290,900","272,000","291,000","271,200",15.52K,6.95%
2020년 03월 05일,"272,000","268,900","277,900","268,900",18.00K,1.15%
2020년 03월 04일,"268,900","268,500","274,000","265,100",9.42K,0.15%
2020년 03월 03일,"268,500","277,700","278,100","265,000",27.10K,-3.28%
2020년 03월 02일,"277,600","264,400","279,800","262,900",26.73K,4.95%
2020년 03월 01일,"264,500","264,600","274,500","259,600",26.62K,0.00%
2020년 02월 29일,"264,500","275,900","281,500","264,200",16.41K,-4.13%
2020년 02월 28일,"275,900","276,100","285,000","260,900",27.29K,0.11%
2020년 02월 27일,"275,600","273,700","288,100","254,000",28.37K,0.84%
2020년 02월 26일,"273,300","300,100","304,200","266,000",56.33K,-8.90%
2020년 02월 25일,"300,000","319,800","320,300","298,400",29.37K,-6.25%
2020년 02월 24일,"320,000","324,700","328,700","312,400",22.26K,-1.39%
2020년 02월 23일,"324,500","311,100","325,200","311,000",12.33K,4.31%
2020년 02월 22일,"311,100","314,900","316,600","305,900",7.96K,-1.11%
2020년 02월 21일,"314,600","308,800","318,600","305,500",15.51K,1.85%
2020년 02월 20일,"308,900","308,100","314,800","296,300",24.85K,0.23%
2020년 02월 19일,"308,200","329,100","333,800","305,000",57.85K,-6.27%
2020년 02월 18일,"328,800","315,400","332,500","305,900",54.26K,4.18%
2020년 02월 17일,"315,600","305,700","316,500","283,300",45.87K,3.24%
2020년 02월 16일,"305,700","307,000","321,200","280,000",69.81K,-0.42%
2020년 02월 15일,"307,000","327,200","330,300","305,700",63.52K,-6.17%
2020년 02월 14일,"327,200","309,500","328,800","302,200",32.38K,5.58%
2020년 02월 13일,"309,900","303,500","318,100","294,300",25.67K,2.11%
2020년 02월 12일,"303,500","272,300","314,400","272,300",66.96K,11.34%
2020년 02월 11일,"272,600","260,800","275,200","253,300",44.84K,4.40%
2020년 02월 10일,"261,100","266,300","266,700","253,700",16.14K,-1.95%
2020년 02월 09일,"266,300","261,100","268,300","259,300",15.75K,2.11%
2020년 02월 08일,"260,800","262,100","265,600","249,000",16.84K,-0.50%
2020년 02월 07일,"262,100","245,800","263,800","245,800",19.74K,6.54%
2020년 02월 06일,"246,000","234,300","249,900","230,000",20.07K,4.99%
2020년 02월 05일,"234,300","218,400","237,300","218,000",24.63K,7.23%
2020년 02월 04일,"218,500","219,700","221,500","213,100",13.24K,-0.59%
2020년 02월 03일,"219,800","217,200","223,200","216,300",10.77K,1.24%
2020년 02월 02일,"217,100","211,900","221,900","208,300",16.89K,2.50%
2020년 02월 01일,"211,800","207,500","212,200","207,100",6.88K,1.92%
2020년 01월 31일,"207,800","209,200","211,000","202,600",13.74K,-0.62%
2020년 01월 30일,"209,100","199,400","211,200","195,400",36.07K,4.71%
2020년 01월 29일,"199,700","198,100","203,600","197,600",11.11K,0.76%
2020년 01월 28일,"198,200","193,500","198,600","193,500",15.71K,2.43%
2020년 01월 27일,"193,500","194,300","196,600","191,500",19.93K,-0.36%
2020년 01월 26일,"194,200","187,200","194,500","186,500",10.20K,3.74%
2020년 01월 25일,"187,200","188,800","189,200","184,300",3.60K,-0.85%
2020년 01월 24일,"188,800","188,700","190,700","182,000",6.05K,0.05%
2020년 01월 23일,"188,700","192,000","192,400","185,000",8.56K,-1.87%
2020년 01월 22일,"192,300","193,600","196,300","189,700",4.96K,-0.41%
2020년 01월 21일,"193,100","189,800","194,300","188,600",9.95K,1.74%
2020년 01월 20일,"189,800","189,900","192,500","184,700",9.66K,-0.11%
2020년 01월 19일,"190,000","197,100","202,200","184,300",14.87K,-3.80%
2020년 01월 18일,"197,500","190,700","204,200","187,000",28.27K,3.46%
2020년 01월 17일,"190,900","184,400","196,600","181,900",24.26K,3.75%
2020년 01월 16일,"184,000","183,300","185,700","177,000",14.48K,0.16%
2020년 01월 15일,"183,700","182,200","191,400","177,200",21.52K,0.60%
2020년 01월 14일,"182,600","162,500","185,000","162,500",91.29K,12.37%
2020년 01월 13일,"162,500","164,800","165,000","160,800",4.22K,-1.34%
2020년 01월 12일,"164,700","161,000","164,700","160,400",5.77K,2.17%
2020년 01월 11일,"161,200","163,300","166,100","160,800",15.83K,-1.29%
2020년 01월 10일,"163,300","157,600","165,100","154,400",28.25K,3.75%
2020년 01월 09일,"157,400","159,200","160,600","154,800",9.80K,-0.94%
2020년 01월 08일,"158,900","164,600","170,400","156,100",18.52K,-3.52%
2020년 01월 07일,"164,700","164,600","166,400","159,300",15.24K,-0.06%
2020년 01월 06일,"164,800","155,700","164,800","155,200",13.60K,5.84%
2020년 01월 05일,"155,700","154,500","158,700","154,000",14.25K,0.71%
2020년 01월 04일,"154,600","154,700","156,300","152,600",10.44K,-0.13%
2020년 01월 03일,"154,800","146,800","155,600","145,000",13.08K,5.45%
2020년 01월 02일,"146,800","150,600","150,700","146,700",8.49K,-2.59%
2020년 01월 01일,"150,700","148,900","153,200","148,600",4.92K,1.01%
2019년 12월 31일,"149,200","151,400","154,000","148,100",13.70K,-1.52%
2019년 12월 30일,"151,500","154,100","156,200","150,000",8.31K,-1.75%
2019년 12월 29일,"154,200","147,600","158,200","147,100",24.30K,4.47%
2019년 12월 28일,"147,600","146,000","149,300","145,800",8.51K,1.10%
2019년 12월 27일,"146,000","146,100","147,100","142,100",8.50K,0.00%
2019년 12월 26일,"146,000","145,400","152,800","144,200",20.94K,0.48%
2019년 12월 25일,"145,300","148,700","148,900","144,100",13.29K,-2.29%
2019년 12월 24일,"148,700","148,700","150,500","147,500",6.65K,0.00%
2019년 12월 23일,"148,700","153,100","156,200","146,900",14.94K,-2.87%
2019년 12월 22일,"153,100","147,900","154,300","147,500",11.49K,3.80%
2019년 12월 21일,"147,500","148,700","149,000","147,000",2.44K,-1.07%
2019년 12월 20일,"149,100","149,000","150,600","146,400",5.70K,0.07%
2019년 12월 19일,"149,000","154,700","156,000","146,600",5.59K,-3.68%
2019년 12월 18일,"154,700","142,700","156,900","136,700",32.84K,8.41%
2019년 12월 17일,"142,700","155,300","155,700","140,300",24.24K,-8.11%
2019년 12월 16일,"155,300","166,700","166,700","151,800",30.34K,-6.84%
2019년 12월 15일,"166,700","166,000","168,400","163,700",3.63K,0.42%
2019년 12월 14일,"166,000","169,600","169,900","165,200",4.88K,-2.01%
2019년 12월 13일,"169,400","169,900","170,600","167,700",6.87K,-0.24%
2019년 12월 12일,"169,800","169,200","171,100","164,700",8.46K,0.53%
2019년 12월 11일,"168,900","172,100","173,000","167,900",10.59K,-1.75%
2019년 12월 10일,"171,900","174,200","175,000","170,000",9.93K,-1.32%
